start.ts,start._zone,start.loc.locale,start.loc.numberingSystem,start.loc.outputCalendar,start.loc.intl,start.loc.weekdaysCache.format,start.loc.weekdaysCache.standalone,start.loc.monthsCache.format,start.loc.monthsCache.standalone,start.loc.meridiemCache,start.loc.eraCache,start.loc.specifiedLocale,start.loc.fastNumbersCached,start.invalid,start.weekData,start.c.year,start.c.month,start.c.day,start.c.hour,start.c.minute,start.c.second,start.c.millisecond,start.o,start.isLuxonDateTime,end.ts,end._zone,end.loc.locale,end.loc.numberingSystem,end.loc.outputCalendar,end.loc.intl,end.loc.weekdaysCache.format,end.loc.weekdaysCache.standalone,end.loc.monthsCache.format,end.loc.monthsCache.standalone,end.loc.meridiemCache,end.loc.eraCache,end.loc.specifiedLocale,end.loc.fastNumbersCached,end.invalid,end.weekData,end.c.year,end.c.month,end.c.day,end.c.hour,end.c.minute,end.c.second,end.c.millisecond,end.o,end.isLuxonDateTime,profile_time,id,isRoot,service_name,trace_id,response_size,initiativeId,total_profile_time,total_events,total_response_size,requestedDays,requestHasAdId,query.partner_id,query_payload.fields,ad_id_count,adset_id_count
1554167280932.7603,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,8,0,932,-420,true,1554167282731,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,8,2,731,-420,true,1.798239776864648,0-1,false,rhino,0,117138,793bfc8c-4848-4e63-a3e1-38683623c810,3.1120639089494944,3,61598,7,false,null,null,undefined,undefined
1554167280845.4333,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,8,0,845,-420,true,1554167280923,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,8,0,923,-420,true,0.077566659078002,0-2,false,augment_view_response_with_impala,0,undefined,793bfc8c-4848-4e63-a3e1-38683623c810,3.1120639089494944,3,61598,7,false,null,null,undefined,undefined
1554167276588.7424,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,56,588,-420,true,1554167277825,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,57,825,-420,true,1.236257473006845,0-3,false,rhino,0,21837,793bfc8c-4848-4e63-a3e1-38683623c810,3.1120639089494944,3,61598,7,false,null,null,undefined,undefined
1554167278412.0789,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,58,412,-420,true,1554167280390,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,8,0,390,-420,true,1.977921221405268,1-4,false,rhino,1,117136,793bfc8c-4848-4e63-a3e1-38683623c810,3.0019584372639656,2,7716,7,false,null,null,undefined,undefined
1554167276585.963,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,56,585,-420,true,1554167277610,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,57,610,-420,true,1.024037215858698,1-5,false,rhino,1,4167,793bfc8c-4848-4e63-a3e1-38683623c810,3.0019584372639656,2,7716,7,false,null,null,undefined,undefined
1554167248912.9192,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,28,912,-420,true,1554167251830,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,31,830,-420,true,2.917080834507942,2-6,false,rhino,2,114461,793bfc8c-4848-4e63-a3e1-38683623c810,4.645032154396176,5,60532,7,false,null,null,undefined,undefined
1554167248839.0728,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,28,839,-420,true,1554167248892,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,28,892,-420,true,0.052927315235138,2-7,false,augment_view_response_with_impala,2,undefined,793bfc8c-4848-4e63-a3e1-38683623c810,4.645032154396176,5,60532,7,false,null,null,undefined,undefined
1554167245920.4905,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,25,920,-420,true,1554167247351,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,27,351,-420,true,1.430509481579065,2-8,false,rhino,2,21589,793bfc8c-4848-4e63-a3e1-38683623c810,4.645032154396176,5,60532,7,false,null,null,undefined,undefined
1554167240192.8455,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,20,192,-420,true,1554167240270,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,20,270,-420,true,0.077154600992799,2-9,false,mongoose,2,undefined,793bfc8c-4848-4e63-a3e1-38683623c810,4.645032154396176,5,60532,7,false,null,null,undefined,undefined
1554167240024.6401,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,20,24,-420,true,1554167240192,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,1,18,7,20,192,-420,true,0.167359922081232,2-10,false,mongoose,2,undefined,793bfc8c-4848-4e63-a3e1-38683623c810,4.645032154396176,5,60532,7,false,316e2375-8e52-4c7a-aae2-d7092df88109,null,undefined,undefined
