start.ts,start._zone,start.loc.locale,start.loc.numberingSystem,start.loc.outputCalendar,start.loc.intl,start.loc.weekdaysCache.format,start.loc.weekdaysCache.standalone,start.loc.monthsCache.format,start.loc.monthsCache.standalone,start.loc.meridiemCache,start.loc.eraCache,start.loc.specifiedLocale,start.loc.fastNumbersCached,start.invalid,start.weekData,start.c.year,start.c.month,start.c.day,start.c.hour,start.c.minute,start.c.second,start.c.millisecond,start.o,start.isLuxonDateTime,end.ts,end._zone,end.loc.locale,end.loc.numberingSystem,end.loc.outputCalendar,end.loc.intl,end.loc.weekdaysCache.format,end.loc.weekdaysCache.standalone,end.loc.monthsCache.format,end.loc.monthsCache.standalone,end.loc.meridiemCache,end.loc.eraCache,end.loc.specifiedLocale,end.loc.fastNumbersCached,end.invalid,end.weekData,end.c.year,end.c.month,end.c.day,end.c.hour,end.c.minute,end.c.second,end.c.millisecond,end.o,end.isLuxonDateTime,profile_time,id,isRoot,service_name,trace_id,response_size,initiativeId,total_profile_time,total_events,total_response_size,requestedDays,requestHasAdId,query.partner_id,query_payload.fields,ad_id_count,adset_id_count,query,start.invalid.reason,start.invalid.explanation,start.c,end.invalid.reason,end.invalid.explanation,end.c
1555375445923.1406,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,5,923,-420,true,1555375447501,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,7,501,-420,true,1.577859270997578,393-1666,false,rhino,393,52332,b9a496dc-876a-444c-875a-59cde9326554,2.8412275849987054,4,251225,15,true,null,null,undefined,undefined,undefined,null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":5,""millisecond"":923}",null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":7,""millisecond"":501}"
1555375444965.862,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,4,965,-420,true,1555375445917,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,5,917,-420,true,0.951137875999848,393-1667,false,rhino,393,206263,b9a496dc-876a-444c-875a-59cde9326554,2.8412275849987054,4,251225,15,true,null,null,undefined,undefined,undefined,null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":4,""millisecond"":965}",null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":5,""millisecond"":917}"
1555375443662.2395,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,3,662,-420,true,1555375443745,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,3,745,-420,true,0.082760550001694,393-1668,false,mongoose,393,undefined,b9a496dc-876a-444c-875a-59cde9326554,2.8412275849987054,4,251225,15,true,null,null,undefined,undefined,undefined,null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":3,""millisecond"":662}",null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":3,""millisecond"":745}"
1555375443432.53,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,3,432,-420,true,1555375443662,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,3,662,-420,true,0.229469887999585,393-1669,false,mongoose,393,undefined,b9a496dc-876a-444c-875a-59cde9326554,2.8412275849987054,4,251225,15,true,73e4d6a0-80a9-483b-80b5-9a3c1a88289c,null,undefined,undefined,"{""partner_id"":""73e4d6a0-80a9-483b-80b5-9a3c1a88289c""}",null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":3,""millisecond"":432}",null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":3,""millisecond"":662}"
1555375445180.5527,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,5,180,-420,true,1555375445905,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,5,905,-420,true,0.724447369997506,394-1670,false,rhino,394,52332,b9a496dc-876a-444c-875a-59cde9326554,1.7564674169989303,4,18253,15,false,null,null,undefined,undefined,undefined,null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":5,""millisecond"":180}",null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":5,""millisecond"":905}"
1555375444384.407,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,4,384,-420,true,1555375445175,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,5,175,-420,true,0.790593086996523,394-1671,false,rhino,394,13721,b9a496dc-876a-444c-875a-59cde9326554,1.7564674169989303,4,18253,15,false,null,null,undefined,undefined,undefined,null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":4,""millisecond"":384}",null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":5,""millisecond"":175}"
1555375443600.2805,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,3,600,-420,true,1555375443662,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,3,662,-420,true,0.061719429002551,394-1672,false,mongoose,394,undefined,b9a496dc-876a-444c-875a-59cde9326554,1.7564674169989303,4,18253,15,false,null,null,undefined,undefined,undefined,null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":3,""millisecond"":600}",null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":3,""millisecond"":662}"
1555375443419.2925,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,3,419,-420,true,1555375443599,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,3,599,-420,true,0.17970753100235,394-1673,false,mongoose,394,undefined,b9a496dc-876a-444c-875a-59cde9326554,1.7564674169989303,4,18253,15,false,73e4d6a0-80a9-483b-80b5-9a3c1a88289c,null,undefined,undefined,"{""partner_id"":""73e4d6a0-80a9-483b-80b5-9a3c1a88289c""}",null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":3,""millisecond"":419}",null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":3,""millisecond"":599}"
1555375445330.7678,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,5,330,-420,true,1555375446799,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,6,799,-420,true,1.468232203995285,395-1674,false,rhino,395,52332,b9a496dc-876a-444c-875a-59cde9326554,2.691785354996682,4,196670,15,true,null,null,undefined,undefined,undefined,null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":5,""millisecond"":330}",null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":6,""millisecond"":799}"
1555375444382.8906,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,4,382,-420,true,1555375445299,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,15,17,44,5,299,-420,true,0.916109272999165,395-1675,false,rhino,395,151685,b9a496dc-876a-444c-875a-59cde9326554,2.691785354996682,4,196670,15,true,null,null,undefined,undefined,undefined,null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":4,""millisecond"":382}",null,null,"{""year"":2019,""month"":4,""day"":15,""hour"":17,""minute"":44,""second"":5,""millisecond"":299}"
